Account ID,Account name,Campaign ID,Campaign name,Objective,Ad set ID,Ad Set Name,Day,Country,Region,DMA Code,DMA region,Platform,Placement,Device platform,Media type,Impressions,Amount spent,Currency
"'1007323679964840","Res.Area","'23850850037050141","1-Event","Event responses","'23850850037090141","By my own","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Desktop","DISPLAY","52","1.7","PLN"
"'1007323679964840","Res.Area","'23850850037050141","1-Event","Event responses","'23850850037090141","By my own","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","DISPLAY","21","0.26","PLN"
"'1007323679964840","Res.Area","'23850850037050141","1-Event","Event responses","'23850851003510141","1-Event(ru,ukr,bel)-male","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Desktop","DISPLAY","165","7.37","PLN"
"'1007323679964840","Res.Area","'23850850037050141","1-Event","Event responses","'23850851003510141","1-Event(ru,ukr,bel)-male","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","DISPLAY","148","3.84","PLN"
"'1007323679964840","Res.Area","'23850850037050141","1-Event","Event responses","'23850851025870141","1-Event(ENG)","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Desktop","DISPLAY","923","28.48","PLN"
"'1007323679964840","Res.Area","'23850850037050141","1-Event","Event responses","'23850851025870141","1-Event(ENG)","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","DISPLAY","393","6.42","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851227270141","Josef","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","VIDEO","13","0.14","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851227270141","Josef","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Facebook","Marketplace","Mobile app","VIDEO","1","0","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851235110141","Zenwerk","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Audience Network","Native, banner & interstitial","Mobile app","VIDEO","115","1.8","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851235110141","Zenwerk","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Desktop","VIDEO","9","0.1","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851235110141","Zenwerk","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","VIDEO","3779","29.24","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851235110141","Zenwerk","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Facebook","Marketplace","Desktop","VIDEO","2","0.02","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851235110141","Zenwerk","2022-05-30","PL","Masovian Voivodeship","0","Unknown","Facebook","Marketplace","Mobile app","VIDEO","137","0.63","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Desktop","VIDEO","48","0.29","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","VIDEO","483","2.6","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile web","VIDEO","3","0.02","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","In-stream video","Desktop","VIDEO","2","0.07","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","In-stream video","Mobile app","VIDEO","382","7.89","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed: video feeds","Mobile app","VIDEO","79","0.63","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Instagram","Feed","Mobile app","VIDEO","8","0.07","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Instagram","Explore","Mobile app","VIDEO","3","0.02","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Instagram","Instagram Reels","Mobile app","VIDEO","9","0.08","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849904600141","exp - off","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","VIDEO","1","0.01","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849904600141","exp - off","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","In-stream video","Desktop","VIDEO","1","0.03","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849904600141","exp - off","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","In-stream video","Mobile app","VIDEO","15","0.4","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849904600141","exp - off","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed: video feeds","Mobile app","VIDEO","5","0.03","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849904600141","exp - off","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Instagram","Instagram Reels","Mobile app","VIDEO","1","0.01","PLN"
"'1007323679964840","Res.Area","'23850850037050141","1-Event","Event responses","'23850850037090141","By my own","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Desktop","DISPLAY","158","3.57","PLN"
"'1007323679964840","Res.Area","'23850850037050141","1-Event","Event responses","'23850850037090141","By my own","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","DISPLAY","317","5.01","PLN"
"'1007323679964840","Res.Area","'23850850054220141","Test-29","Post engagement","'23850850054210141","test-29","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Desktop","VIDEO","39","0.25","PLN"
"'1007323679964840","Res.Area","'23850850054220141","Test-29","Post engagement","'23850850054210141","test-29","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","VIDEO","205","1.14","PLN"
"'1007323679964840","Res.Area","'23850850054220141","Test-29","Post engagement","'23850850054210141","test-29","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile web","VIDEO","1","0.01","PLN"
"'1007323679964840","Res.Area","'23850850054220141","Test-29","Post engagement","'23850850054210141","test-29","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","In-stream video","Desktop","VIDEO","3","0.09","PLN"
"'1007323679964840","Res.Area","'23850850054220141","Test-29","Post engagement","'23850850054210141","test-29","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","In-stream video","Mobile app","VIDEO","354","8.42","PLN"
"'1007323679964840","Res.Area","'23850850054220141","Test-29","Post engagement","'23850850054210141","test-29","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed: video feeds","Mobile app","VIDEO","27","0.17","PLN"
"'1007323679964840","Res.Area","'23850850054220141","Test-29","Post engagement","'23850850054210141","test-29","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Instagram","Feed","Mobile app","VIDEO","6","0.05","PLN"
"'1007323679964840","Res.Area","'23850850054220141","Test-29","Post engagement","'23850850054210141","test-29","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Instagram","Instagram Reels","Mobile app","VIDEO","5","0.06","PLN"
"'1007323679964840","Res.Area","'23850850037050141","1-Event","Event responses","'23850851003510141","1-Event(ru,ukr,bel)-male","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Desktop","DISPLAY","14","0.41","PLN"
"'1007323679964840","Res.Area","'23850850037050141","1-Event","Event responses","'23850851003510141","1-Event(ru,ukr,bel)-male","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","DISPLAY","116","2.49","PLN"
"'1007323679964840","Res.Area","'23850850037050141","1-Event","Event responses","'23850851025870141","1-Event(ENG)","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Desktop","DISPLAY","474","11.59","PLN"
"'1007323679964840","Res.Area","'23850850037050141","1-Event","Event responses","'23850851025870141","1-Event(ENG)","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","DISPLAY","675","13.46","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851206720141","Vace","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Audience Network","Native, banner & interstitial","Mobile app","VIDEO","30","0.46","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851206720141","Vace","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","VIDEO","1033","7.71","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851206720141","Vace","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Marketplace","Mobile app","VIDEO","57","0.51","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851227270141","Josef","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Audience Network","Native, banner & interstitial","Mobile app","VIDEO","11","0.11","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851227270141","Josef","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","VIDEO","1247","9.33","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851227270141","Josef","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Marketplace","Mobile app","VIDEO","59","0.38","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851235110141","Zenwerk","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Audience Network","Native, banner & interstitial","Mobile app","VIDEO","9","0.53","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851235110141","Zenwerk","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Desktop","VIDEO","1","0.01","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851235110141","Zenwerk","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","VIDEO","213","2.04","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851235110141","Zenwerk","2022-05-31","PL","Masovian Voivodeship","0","Unknown","Facebook","Marketplace","Mobile app","VIDEO","13","0.05","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-06-01","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Desktop","VIDEO","1","0.01","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-06-01","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","VIDEO","86","0.46","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-06-01","PL","Masovian Voivodeship","0","Unknown","Facebook","In-stream video","Mobile app","VIDEO","56","1.28","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-06-01","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed: video feeds","Mobile app","VIDEO","14","0.22","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-06-01","PL","Masovian Voivodeship","0","Unknown","Instagram","Feed","Mobile app","VIDEO","1","0","PLN"
"'1007323679964840","Res.Area","'23850849702430141","[1] - trafic - afisha- exp(on) - split","Post engagement","'23850849702450141","exp-on","2022-06-01","PL","Masovian Voivodeship","0","Unknown","Instagram","Instagram Reels","Mobile app","VIDEO","2","0.01","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851206720141","Vace","2022-06-01","PL","Masovian Voivodeship","0","Unknown","Audience Network","Native, banner & interstitial","Mobile app","VIDEO","93","1.6","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851206720141","Vace","2022-06-01","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Desktop","VIDEO","3","0.02","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851206720141","Vace","2022-06-01","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","VIDEO","792","6.44","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851206720141","Vace","2022-06-01","PL","Masovian Voivodeship","0","Unknown","Facebook","Marketplace","Mobile app","VIDEO","43","0.24","PLN"
"'1007323679964840","Res.Area","'23850851206700141","Vid_carousels","Link clicks","'23850851227270141","Josef","2022-06-01","PL","Masovian Voivodeship","0","Unknown","Audience Network","Native, banner & interstitial","Mobile app","VIDEO","8","0.06","PLN"
